Data Element ID,Data Content,Data Content Description,Class,Class Description,Element,Element Description,PHI,Data Structure [Applicable Standard(s)],Step/Phase #,Data Content Source
1.6.4,Patient Health Information,Information about a patient and their health history and care,Clinical Notes,Represents narrative patient data relevant to the respective note types.,Procedure Note,"Encompasses non-operative procedures including interventional cardiology, gastrointestinal endoscopy, osteopathic manipulation, and other specialty’s procedures. ","May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers)",Procedure Note (LOINC® code 28570-0),1,USCDIv1 July 2020
1.6.5,Patient Health Information,Information about a patient and their health history and care,Clinical Notes,Represents narrative patient data relevant to the respective note types.,Progress Note,"Represents a patient’s interval status during a hospitalization, outpatient visit, treatment with a LTPAC provider, or other healthcare encounter. ","May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers)",Progress Note (LOINC® code 11506-3),1,USCDIv1 July 2020
1.7.1,Patient Health Information,Information about a patient and their health history and care,Diagnostic Imaging (New Proposed Data Class for USCDIv2),,Diagnostic Imaging Order (New Proposed Data Element for USCDI v2),,,Logical Observation Identifiers Names and Codes (LOINC®) version 2.69,1,USCDIv2 DRAFT January 2021
1.7.2,Patient Health Information,Information about a patient and their health history and care,Diagnostic Imaging (New Proposed Data Class for USCDIv2),,Diagnostic Imaging Report (New Proposed Data Element for USCDI v2),,,Logical Observation Identifiers Names and Codes (LOINC®) version 2.69,1,USCDIv2 DRAFT January 2021
1.7.3,Patient Health Information,Information about a patient and their health history and care,Diagnostic Imaging (New Proposed Data Class for USCDIv2),,Diagnostic Imaging Narrative (Data Element Reclassified into this Data Class for USCDIv2),Contains a consulting specialist's interpretation of diagnostic imaging data.,"May contain PHI (names, unique identifying numbers, dates)",LOINC® code 18748-4,1,USCDIv2 DRAFT January 2021
1.8.1,Patient Health Information,Information about a patient and their health history and care,Encounter Information (New Proposed Data Class for USCDIv2),An episode defined by an interaction between a healthcare provider and the subject of care in which healthcare-related activities take place.,Encounter Type (New Proposed Data Element for USCDI v2),"This data element specifies the classification of encounter that has occurred for a patient, for example an inpatient admission, an observation stay, or an office visit and the specific type of encounter such as a follow-up visit, or encounter for a procedure.",,,1,USCDIv2 DRAFT January 2021
1.8.2,Patient Health Information,Information about a patient and their health history and care,Encounter Information (New Proposed Data Class for USCDIv2),An episode defined by an interaction between a healthcare provider and the subject of care in which healthcare-related activities take place.,Encounter Diagnosis (New Proposed Data Element for USCDI v2),"Represents the primary reason for a healthcare encounter and associated diagnoses, represented by a diagnosis code.",,"SNOMED International, Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT®) U.S. Edition, September 2020 Release

International Classification of Diseases ICD-10-CM 2021",1,USCDIv2 DRAFT January 2021
1.8.3,Patient Health Information,Information about a patient and their health history and care,Encounter Information (New Proposed Data Class for USCDIv2),An episode defined by an interaction between a healthcare provider and the subject of care in which healthcare-related activities take place.,Encounter Time (New Proposed Data Element for USCDI v2),"Specifies the date and time associated with the encounter, for clinical context",Contains PHI (dates),,1,USCDIv2 DRAFT January 2021
1.9.1,Patient Health Information,Information about a patient and their health history and care,Goals,An expressed desired health state to be achieved by a subject of care (or family/group) over a period of time or at a specific point of time.,Patient’s Goals,,"May contain PHI (names, unique identifying numbers, dates)",,1,USCDIv1 July 2020
1.10.1,Patient Health Information,Information about a patient and their health history and care,Health Concerns,"Health related matter that is of interest, importance, or worry to someone who may be the patient, patient’s family or patient’s health care provider.",Health Concerns,,"May contain PHI (names, unique identifying numbers, dates)",,1,USCDIv1 July 2020
1.11.1,Patient Health Information,Information about a patient and their health history and care,Immunizations,"Record of an administration of a vaccination or a record of a vaccination as reported by a patient, a clinician, or another party",Immunizations,,"May contain PHI (names, unique identifying numbers, dates)","CDC IIS: Current HL7 Standard Code Set, CVX -- Vaccines Administered, updates through November 16, 2020

CDC National Drug Code (NDC) Directory – Vaccine NDC Linker Table, updates through November 13, 2020
",1,USCDIv1 July 2020
1.12.1,Patient Health Information,Information about a patient and their health history and care,Laboratory,,Tests,"Examinations of specimens derived from humans to provide information for the diagnosis, prevention, treatment of disease, or impairment of, or assessment of health. ","May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers, health plan beneficiary numbers)",Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69,1,USCDIv1 July 2020
1.12.2,Patient Health Information,Information about a patient and their health history and care,Laboratory,,Values/Results,Outcome of the examination of a tested specimen. ,"May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers, health plan beneficiary numbers)",,1,USCDIv1 July 2020
1.12.3,Patient Health Information,Information about a patient and their health history and care,Laboratory,Represents narrative patient data relevant to the respective note types.,Laboratory Report Narrative (Data Element Reclassified into this Data Class for USCDIv2),Contains a consulting specialist’s interpretation of the laboratory report. ,"May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers)",,1,USCDIv2 DRAFT January 2021
1.12.4,Patient Health Information,Information about a patient and their health history and care,Laboratory,Represents narrative patient data relevant to the respective note types.,Pathology Report Narrative (Data Element Reclassified into this Data Class for USCDIv2),Contains a consulting specialist’s interpretation of the pathology report. ,"May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers)",,1,USCDIv2 DRAFT January 2021
1.13.1,Patient Health Information,Information about a patient and their health history and care,Medications,,Medications,,,"RxNorm, January 4, 2021 Full Release Update",1,USCDIv1 July 2020
1.14.1,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,First Name,,PHI (names),,1,USCDIv1 July 2020
1.14.2,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Last Name,,PHI (names),,1,USCDIv1 July 2020
1.14.3,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Previous Name,,PHI (names),,1,USCDIv1 July 2020
1.14.4,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Middle Name (including middle initial),,PHI (names),,1,USCDIv1 July 2020
1.14.5,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Suffix,,PHI (names),,1,USCDIv1 July 2020
1.14.6,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Birth Sex,,,"Birth sex must be coded in accordance with HL7 Version 3 (V3) Standard, Value Sets for AdministrativeGender and NullFlavor (https://www.healthit.gov/sites/default/files/170299_ f_29_hl7_v3_agender_and_nullflavor.pdf) attributed as follows:
1. Male. M
2. Female. F
3. Unknown. nullFlavor UNK
",1,USCDIv1 July 2020
1.14.7,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Date of Birth,,"PHI (dates) --> AGE under 90 is not PHI, or could ask for year of birth?",,1,USCDIv1 July 2020
1.14.8,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Race,,,"The Office of Management and Budget Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity, Statistical Policy Directive No. 15, as revised, October 30, 1997 (https://obamawhitehouse.archives.gov/omb/fedreg_1997standards)

CDC Race and Ethnicity Code Set Version 1.0 (March 2000) (https://www.cdc.gov/phin/resources/vocabulary/index.html)
",1,USCDIv1 July 2020
1.14.9,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Ethnicity,,,"The Office of Management and Budget Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity, Statistical Policy Directive No. 15, as revised, October 30, 1997 (https://obamawhitehouse.archives.gov/omb/fedreg_1997standards)

CDC Race and Ethnicity Code Set Version 1.0 (March 2000) (https://www.cdc.gov/phin/resources/vocabulary/index.html)
",1,USCDIv1 July 2020
1.14.10,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Preferred Language,,,"Request for Comment (RFC) 5646, “Tags for Identifying Languages”, September 2009 (http://www.rfc-editor.org/info/rfc5646) See https://tools.ietf.org/html/bcp47",1,USCDIv1 July 2020
1.14.11,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Current Address,,PHI (addresses),,1,USCDIv1 July 2020
1.14.12,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Previous Address,,PHI (addresses),,1,USCDIv1 July 2020
1.14.13,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Phone Number,,PHI (phone numbers),"ITU–T E.123 (02/2001) International Telecommunication Union E.123: Notation for national and international telephone numbers, e-mail addresses and web addresses

ITU–T E.164 International Telecommunication Union E.164: The international public telecommunication numbering plan",1,USCDIv1 July 2020
1.14.14,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Phone Number Type,,,,1,USCDIv1 July 2020
1.14.15,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Email Address,,PHI (Email Addresses),,1,USCDIv1 July 2020
1.14.16,Patient Health Information,Information about a patient and their health history and care,Patient Demographics,,Emgergency Contact,,"PHI (names, addresses, phone numbers)",,1,EHR-Lite
1.15.1,Patient Health Information,Information about a patient and their health history and care,Pregnancy Status,Information about pregnancy status of the patient.,,,,"SNOMED International, Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT®) U.S. Edition, September 2020 Release",1,"SCCM-COVID, USCIITG-PREP"
1.16.1,Patient Health Information,Information about a patient and their health history and care,Problems,"Information about a condition, diagnosis, or other event, situation, issue, or clinical concept that is documented.",Problems,,"May contain PHI (names, unique identifying numbers, dates)","SNOMED International, Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT®) U.S. Edition, September 2020 Release",1,USCDIv1 July 2020
1.16.2,Patient Health Information,Information about a patient and their health history and care,Problems,"Information about a condition, diagnosis, or other event, situation, issue, or clinical concept that is documented.",Date of Diagnosis (New Proposed Data Element for USCDI v2),,Contains PHI (dates),,1,USCDIv2 DRAFT January 2021
1.16.3,Patient Health Information,Information about a patient and their health history and care,Problems,"Information about a condition, diagnosis, or other event, situation, issue, or clinical concept that is documented.",Data of Resolution (New Proposed Data Element for USCDI v2),,Contains PHI (dates),,1,USCDIv2 DRAFT January 2021
1.17.1,Patient Health Information,Information about a patient and their health history and care,Procedures,"An activity performed for or on a patient as part of the provision of care.

SHOULD A SEPARATE DATA ELEMENT BE ADDED TO ENSURE INFORMATION ABOUT VENTILATION IS CAPTURED, SINCE IT IS AN IMPORTANT PART OF THE SCCM-COVID AND USCIITG-PREP CRFs?",Procedures,,"May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers, health plan beneficiary numbers, device identifiers/serial numbers)","Health Care Financing Administration Common Procedure Coding System (HCPCS), as maintained and distributed by HHS.

•Current Procedural Terminology (CPT®) 2021, as maintained and distributed by the American Medical Association, for physician services and other health care services. 

SNOMED International, Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT®) U.S. Edition, September 2020 Release

Optional:
- International Classification of Diseases ICD-10-PCS 2021
- Optional for technology which records dental procedures: Code on Dental Procedures and Nomenclature (CDT), maintained and distributed by the American Dental Association, for dental services.
",1,USCDIv1 July 2020
1.18.1,Patient Health Information,Information about a patient and their health history and care,Remote Procedures,"Captures information and data from procedures conducted remotely (e.g. ultrasound, vascular access and intubations)",,,"May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers, health plan beneficiary numbers, device identifiers/serial numbers)",,2,NETCCN Phase 2 RPP
1.19.1,Patient Health Information,Information about a patient and their health history and care,Provenance,"The metadata, or extra information about data, regarding who created the data and when it was created.",Author Time Stamp,,PHI (dates),,1,USCDIv1 July 2020
1.19.2,Patient Health Information,Information about a patient and their health history and care,Provenance,"The metadata, or extra information about data, regarding who created the data and when it was created.",Author Organization,,PHI (names),,1,USCDIv1 July 2020
1.20.1,Patient Health Information,Information about a patient and their health history and care,Smoking Status,Representing a patient’s smoking behavior.,Smoking Status,,,"SNOMED International, Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT®) U.S. Edition, September 2020 Release",1,USCDIv1 July 2020
1.21.1,Patient Health Information,Information about a patient and their health history and care,Social History,"Contains information about a patient's social history and behavior (e.g. alcohol, substance use, sexual behavior, financial, education)",Social History Narrative,,"May contain PHI (names, unique identifying numbers, dates, addresses)",Social History Narrative (LOINC® code 29762-2),1,"SCCM-COVID, JC-CROWN"
1.22.1,Patient Health Information,Information about a patient and their health history and care,Unique Device Identifier(s) for a Patient’s Implantable Device(s),A unique numeric or alphanumeric code that consists of a device identifier and a production identifier.,Unique Device Identifier(s) for a Patient’s Implantable Device(s),,PHI (device identifiers/serial numbers),UDI identifier as described by applicable FDA regulation. (found at https://www.fda.gov/MedicalDevices/Device RegulationandGuidance/UniqueDeviceIdentification/),1,USCDIv1 July 2020
1.23.1,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Diastolic Blood Pressure,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.2,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Systolic Blood Pressure,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.3,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Body Height,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.4,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Body Weight,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.5,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Heart Rate,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.6,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Respiratory Rate,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.7,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Body Temperature,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.8,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Pulse Oximetry,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.9,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Inhaled Oxygen Concentration,,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.10,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,BMI Percentile (2 - 20 years),,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.11,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Weight-for-length Percentile (Birth - 36 Months),,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.23.12,Patient Health Information,Information about a patient and their health history and care,Vital Signs,Physiologic measurements of a patient that indicate the status of the body’s life sustaining functions.,Head Occipital-frontal Circumference Percentile (Birth - 36 Months),,,"Logical Observation Identifiers Names and Codes (LOINC®) Database version 2.69

The Unified Code of Units for Measure, Revision 2.1
",1,USCDIv1 July 2020
1.24.1,Patient Health Information,Information about a patient and their health history and care,Medical Insurance Claims and Billing,"Contains information about the patient's medical insurance, billing, and claims",Medical Insurance Claims and Billing,"Contains information about the patient's medical insurance, billing, and claims","PHI (health plan beneficiary numbers, account numbers)",,2,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
1.25.1,Patient Health Information,Information about a patient and their health history and care,Audio,Contains audio records documenting the patient's health and treatment.,Audio,Contains audio records documenting the patient's health and treatment.,PHI (full face photographs or images),"Digital Imaging and Communications in Medicine (DICOM)

",2,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
1.26.1,Patient Health Information,Information about a patient and their health history and care,Video,Contains video records documenting the patient's health and treatment.,Video,Contains video records documenting the patient's health and treatment.,PHI (full face photographs or images),"Digital Imaging and Communications in Medicine (DICOM)

",2,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
1.27.1,Patient Health Information,Information about a patient and their health history and care,Images,"Contains images from medical devices (e.g. x-ray, CT scan) pertaining to the patient's health, diagnosis, and treatment.",Medical Device Images,,PHI (full face photographs or images),"Digital Imaging and Communications in Medicine (DICOM)

",2,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
1.27.2,Patient Health Information,Information about a patient and their health history and care,Images,"Contains images from non-medical devices (e.g. mobile phone) pertaining to the patient's health, diagnosis, and treatment.",Non-Medical Device Images,,PHI (full face photographs or images),"Standard image formats such as JPG, PNG, TIFF, PDF",1,"NETCCN Phase 1 MECs, NETCCN Phase 2 RPP"
2.1.1,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Information,"Information about the device/wearable/sensor being used, including name, vendor, hardware version, software/firmware version, and relevant standards, regulatory, security, approval information",PHI (device identifiers/serial numbers),,2,NETCCN Phase 2 RPP
2.1.2,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Settings,Device/wearable/sensor parameters and settings during data collection,,,2,NETCCN Phase 2 RPP
2.1.3,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Control,"How the device is controlled (manual, remote, autonomous)",,,2,NETCCN Phase 2 RPP
2.1.4,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Placement,Information about where and how the device has been placed on/near the patient,,,2,NETCCN Phase 2 RPP
2.1.5,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Measurement Data,Device/wearable/sensor measurement information with timestamps,PHI (dates),,2,NETCCN Phase 2 RPP
2.1.6,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Non-Medical Device Monitoring,Contains information about and from non- medical devices/wearables/sensors used in patient care,Non-Medical Device Interface Information,"Information about the communication/connectivity interfaces of the device (e.g., Bluetooth)",,,2,NETCCN Phase 2 RPP
2.2.1,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Information,"Information about the device/wearable/sensor being used, including name, vendor, hardware version, software/firmware version, and relevant standards, regulatory, security, approval information",PHI (device identifiers/serial numbers),"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
2.2.2,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Settings,Device/wearable/sensor parameters and settings during data collection,,"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
2.2.3,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Control,"How the device is controlled (manual, remote, autonomous)",,"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
2.2.4,Patient Monitoring Information,"Information about and from medical and non-medical devices, wearables, sensors used in patient care",Medical Device Monitoring,Contains information about and from  medical devices/wearables/sensors used in patient care,Medical Device Placement,Information about where and how the device has been placed on/near the patient,,"• Medical device data comply with the medical device Information Model specified in IEEE 11073-10207 (the so-called BICEPS Participant Model)
• Medical device data items use nomenclature specified in the NIST-developed Rosetta Terminology Mapping Management System (RTMMS) - specifically in the Harmonized Rosetta Table (hRTM).  
o If appropriate nomenclature terms cannot be found in the RTMMS, then the IEEE 11073-10101 Nomenclature Standard is used.  
o The Integrating the Healthcare Enterprise (IHE) Patient Care Device (PCD) Technical Framework Volume 3 - Semantic Content provides guidance on the application of the 11073-10101 standard for some medical device use cases.  
o If an appropriate nomenclature term cannot be found in either the RTMMS or IEEE 11073-10101, then a custom code may be used.  In this case the term, should be proposed for later inclusion in IEEE 11073-10101 according to the methodology in Annex H of the standard.",2,"NETCCN Phase 2 RPP, MDIA RPP"
